PollingUnitID,State,LGA,Ward,ElectionYear,RegisteredVoters,PartyAVotes,PartyBVotes,PartyCVotes,TotalVotesCast,MergeKey,Tunout Percentage,Anomaly Flag,IncidentCount,Avg SeverityScore,Country,RiskCategory,Location
PU503,Rivers,Obio/Akpor,Ward BD,2023,1000,495,475,15,985,Obio/Akpor-Rivers-2023,98.5,Normal,12,4.833333333,Nigeria,Medium Score,"Obio/Akpor,Rivers,Nigeria"
PU506,Kano,Fagge,Ward AV,2023,770,380,360,15,755,Fagge-Kano-2023,98.05194805,Normal,12,4.833333333,Nigeria,Medium Score,"Fagge,Kano,Nigeria"
PU511,Rivers,Obio/Akpor,Ward BE,2023,1010,500,480,15,995,Obio/Akpor-Rivers-2023,98.51485149,Normal,12,4.833333333,Nigeria,Medium Score,"Obio/Akpor,Rivers,Nigeria"
PU514,Kano,Fagge,Ward AW,2023,780,385,365,15,765,Fagge-Kano-2023,98.07692308,Normal,12,4.833333333,Nigeria,Medium Score,"Fagge,Kano,Nigeria"
PU519,Rivers,Obio/Akpor,Ward BF,2023,1020,505,485,15,1005,Obio/Akpor-Rivers-2023,98.52941176,Normal,12,4.833333333,Nigeria,Medium Score,"Obio/Akpor,Rivers,Nigeria"
PU522,Kano,Fagge,Ward AX,2023,790,390,370,15,775,Fagge-Kano-2023,98.10126582,Normal,12,4.833333333,Nigeria,Medium Score,"Fagge,Kano,Nigeria"
PU527,Rivers,Obio/Akpor,Ward BG,2023,1030,510,490,15,1015,Obio/Akpor-Rivers-2023,98.54368932,Normal,12,4.833333333,Nigeria,Medium Score,"Obio/Akpor,Rivers,Nigeria"
PU530,Kano,Fagge,Ward AY,2023,800,395,375,15,785,Fagge-Kano-2023,98.125,Normal,12,4.833333333,Nigeria,Medium Score,"Fagge,Kano,Nigeria"
PU535,Rivers,Obio/Akpor,Ward BH,2023,1040,515,495,15,1025,Obio/Akpor-Rivers-2023,98.55769231,Normal,12,4.833333333,Nigeria,Medium Score,"Obio/Akpor,Rivers,Nigeria"
PU538,Kano,Fagge,Ward AZ,2023,810,400,380,15,795,Fagge-Kano-2023,98.14814815,Normal,12,4.833333333,Nigeria,Medium Score,"Fagge,Kano,Nigeria"
PU543,Rivers,Obio/Akpor,Ward BI,2023,1050,520,500,15,1035,Obio/Akpor-Rivers-2023,98.57142857,Normal,12,4.833333333,Nigeria,Medium Score,"Obio/Akpor,Rivers,Nigeria"
PU546,Kano,Fagge,Ward BA,2023,820,405,385,15,805,Fagge-Kano-2023,98.17073171,Normal,12,4.833333333,Nigeria,Medium Score,"Fagge,Kano,Nigeria"
PU551,Rivers,Obio/Akpor,Ward BJ,2023,1060,525,505,15,1045,Obio/Akpor-Rivers-2023,98.58490566,Normal,12,4.833333333,Nigeria,Medium Score,"Obio/Akpor,Rivers,Nigeria"
PU554,Kano,Fagge,Ward BB,2023,830,410,390,15,815,Fagge-Kano-2023,98.19277108,Normal,12,4.833333333,Nigeria,Medium Score,"Fagge,Kano,Nigeria"
PU559,Rivers,Obio/Akpor,Ward BK,2023,1070,530,510,15,1055,Obio/Akpor-Rivers-2023,98.59813084,Normal,12,4.833333333,Nigeria,Medium Score,"Obio/Akpor,Rivers,Nigeria"
PU562,Kano,Fagge,Ward BC,2023,840,415,395,15,825,Fagge-Kano-2023,98.21428571,Normal,12,4.833333333,Nigeria,Medium Score,"Fagge,Kano,Nigeria"
PU567,Rivers,Obio/Akpor,Ward BL,2023,1080,535,515,15,1065,Obio/Akpor-Rivers-2023,98.61111111,Normal,12,4.833333333,Nigeria,Medium Score,"Obio/Akpor,Rivers,Nigeria"
PU570,Kano,Fagge,Ward BD,2023,850,420,400,15,835,Fagge-Kano-2023,98.23529412,Normal,12,4.833333333,Nigeria,Medium Score,"Fagge,Kano,Nigeria"
PU575,Rivers,Obio/Akpor,Ward BM,2023,1090,540,520,15,1075,Obio/Akpor-Rivers-2023,98.62385321,Normal,12,4.833333333,Nigeria,Medium Score,"Obio/Akpor,Rivers,Nigeria"
PU578,Kano,Fagge,Ward BE,2023,860,425,405,15,845,Fagge-Kano-2023,98.25581395,Normal,12,4.833333333,Nigeria,Medium Score,"Fagge,Kano,Nigeria"
PU583,Rivers,Obio/Akpor,Ward BN,2023,1100,545,525,15,1085,Obio/Akpor-Rivers-2023,98.63636364,Normal,12,4.833333333,Nigeria,Medium Score,"Obio/Akpor,Rivers,Nigeria"
PU586,Kano,Fagge,Ward BF,2023,870,430,410,15,855,Fagge-Kano-2023,98.27586207,Normal,12,4.833333333,Nigeria,Medium Score,"Fagge,Kano,Nigeria"
PU591,Rivers,Obio/Akpor,Ward BO,2023,1110,550,530,15,1095,Obio/Akpor-Rivers-2023,98.64864865,Normal,12,4.833333333,Nigeria,Medium Score,"Obio/Akpor,Rivers,Nigeria"
